Lesson 6: Dimensionless heat transfer - exact 
0.0000, 0.0000, 0.2000, 0.4000, 0.6000, 0.8000, 1.0000, 0.8000, 0.6000, 0.4000, 0.2000, 0.0000
0.0010, 0.0000, 0.2000, 0.4000, 0.6000, 0.7992, 0.9286, 0.7992, 0.6000, 0.4000, 0.2000, 0.0000
0.0020, 0.0000, 0.2000, 0.4000, 0.5999, 0.7939, 0.8991, 0.7939, 0.5999, 0.4000, 0.2000, 0.0000
0.0030, 0.0000, 0.2000, 0.4000, 0.5995, 0.7856, 0.8764, 0.7856, 0.5995, 0.4000, 0.2000, 0.0000
0.0040, 0.0000, 0.2000, 0.4000, 0.5984, 0.7763, 0.8573, 0.7763, 0.5984, 0.4000, 0.2000, 0.0000
0.0050, 0.0000, 0.2000, 0.3998, 0.5966, 0.7667, 0.8404, 0.7667, 0.5966, 0.3998, 0.2000, 0.0000
0.0060, 0.0000, 0.2000, 0.3996, 0.5941, 0.7570, 0.8252, 0.7570, 0.5941, 0.3996, 0.2000, 0.0000
0.0070, 0.0000, 0.2000, 0.3992, 0.5911, 0.7475, 0.8112, 0.7475, 0.5911, 0.3992, 0.2000, 0.0000
0.0080, 0.0000, 0.1999, 0.3985, 0.5877, 0.7382, 0.7981, 0.7382, 0.5877, 0.3985, 0.1999, 0.0000
0.0090, 0.0000, 0.1998, 0.3976, 0.5839, 0.7290, 0.7859, 0.7290, 0.5839, 0.3976, 0.1998, 0.0000
0.0100, 0.0000, 0.1996, 0.3966, 0.5799, 0.7201, 0.7743, 0.7201, 0.5799, 0.3966, 0.1996, 0.0000
0.0110, 0.0000, 0.1994, 0.3953, 0.5757, 0.7115, 0.7633, 0.7115, 0.5757, 0.3953, 0.1994, 0.0000
0.0120, 0.0000, 0.1990, 0.3938, 0.5712, 0.7030, 0.7528, 0.7030, 0.5712, 0.3938, 0.1990, 0.0000
0.0130, 0.0000, 0.1986, 0.3921, 0.5667, 0.6947, 0.7427, 0.6947, 0.5667, 0.3921, 0.1986, 0.0000
0.0140, 0.0000, 0.1982, 0.3903, 0.5621, 0.6867, 0.7330, 0.6867, 0.5621, 0.3903, 0.1982, 0.0000
0.0150, 0.0000, 0.1976, 0.3883, 0.5574, 0.6788, 0.7236, 0.6788, 0.5574, 0.3883, 0.1976, 0.0000
0.0160, 0.0000, 0.1969, 0.3862, 0.5526, 0.6711, 0.7145, 0.6711, 0.5526, 0.3862, 0.1969, 0.0000
0.0170, 0.0000, 0.1962, 0.3839, 0.5478, 0.6635, 0.7058, 0.6635, 0.5478, 0.3839, 0.1962, 0.0000
0.0180, 0.0000, 0.1954, 0.3816, 0.5430, 0.6561, 0.6972, 0.6561, 0.5430, 0.3816, 0.1954, 0.0000
0.0190, 0.0000, 0.1945, 0.3791, 0.5382, 0.6489, 0.6889, 0.6489, 0.5382, 0.3791, 0.1945, 0.0000
0.0200, 0.0000, 0.1935, 0.3766, 0.5334, 0.6418, 0.6808, 0.6418, 0.5334, 0.3766, 0.1935, 0.0000
